#Table1
g,i,r,z
22.90882,20.55082,22.34431,1.00721
22.06019,21.91906,22.27788,1.0072
25.69687,22.14537,23.56538,1.009317
21.82344,21.61319,21.80341,1.000607
21.55966,21.20876,21.10998,1.000698
22.59539,23.20526,23.169,1.000682
23.03264,21.32534,23.20626,1.000472
22.92552,20.61859,21.77894,1.00047
22.25102,21.05886,21.98793,1.00046
22.44297,21.44677,22.11884,1.000209
22.47193,21.48636,22.24456,1.000589
22.93483,21.48077,22.13398,1.000478
23.04784,21.39044,21.89162,1.000485
22.29075,21.19324,21.83739,1.000501
22.05532,21.04202,21.02098,1.000376
21.82406,20.9738,21.28913,1.000354
22.70782,22.00313,22.65622,1.000233
22.88886,21.70699,21.88485,1.000157
22.41077,20.94885,21.57123,1.000232
21.95918,21.05662,21.71859,1.000522
21.70875,20.43646,20.9446,1.000401
23.05397,21.71679,21.97832,1.00032
22.7263,21.92777,22.662,1.000087
22.57339,22.15099,22.37517,1.000561
22.17319,21.57682,21.97371,1.000062
22.77008,21.82,22.98372,1.000032
23.04322,21.17689,22.19475,1.000113
24.17526,20.70927,22.33851,1.000634
22.00288,20.95244,21.60017,1.00026
22.28672,21.54417,22.19861,1.000069
21.32288,20.52477,20.84541,1.000714
22.18367,21.79022,21.79123,1.000299
22.93181,21.72371,22.06595,1.0006
22.53741,21.74526,22.90909,1.000707
22.84315,21.58985,21.69538,1.00062
21.86173,21.67958,21.85825,1.000197
22.98436,21.64465,22.20818,1.000288
23.41302,21.9122,23.03201,1.000489
21.97953,21.81885,21.94284,1.000459
22.10149,20.80674,21.48637,1.00028
22.39162,21.26825,21.78048,1.000436
22.30453,21.07848,21.67443,1.000368
23.08384,21.38066,22.05999,1.000548
23.20901,21.87929,22.4581,1.000459
23.27925,21.90858,22.99649,1.000517
22.7658,21.16521,21.89449,1.000411
22.69023,21.72981,22.17683,1.000015
22.81077,22.5207,23.13438,1.000186
22.66647,21.39287,22.0326,1.000762
22.22446,20.79659,21.31903,1.000358
22.1176,21.25628,21.72452,1.000644
22.34887,21.39931,22.05476,1.000467
22.33954,21.57275,22.01671,1.00001
22.64573,21.85158,22.12193,1.000339
22.4693,20.9579,21.68975,1.000203
22.31452,21.18096,21.79035,1.000497
22.98605,21.74946,22.49229,1.000489
21.91496,21.23413,21.65534,1.000164
22.45005,21.29339,21.93413,1.000578
22.50103,21.59214,22.15277,1.000579
22.26037,21.89749,21.9483,1.000141
22.00371,20.9535,21.57747,1.000756
22.31647,21.691,22.44868,1.000646
22.80295,21.70648,21.57357,1.000179
22.77889,21.89387,23.01965,1.000628
23.27385,21.33926,22.02993,1.000635
22.83128,22.04054,22.31645,1.000594
21.77283,19.96917,21.00708,1.000635
22.60932,21.29716,21.78736,1.000692
22.69029,21.21786,21.7767,1.000596
22.49948,20.95616,21.42172,1.000192
22.35889,21.4952,21.78214,1.000543
22.43163,21.67815,21.82423,1.000178
24.34068,24.17913,21.85204,1.000213
22.79782,21.17234,21.82637,1.00017
22.59332,22.35539,22.48394,1.000663
21.95482,21.03588,21.97987,1.000727
21.79783,20.27143,20.90792,1.000752
22.6369,21.79018,22.31479,1.000609
22.69353,21.83101,22.10733,1.000674
25.81202,21.42188,22.49955,1.000634
23.48939,22.04501,22.55581,1.000726
22.81196,22.24672,22.32514,1.00037
23.08054,21.9725,22.70746,1.000734
22.58748,21.47772,22.56878,1.000642
22.42934,21.16494,21.93733,1.000557
22.6043,21.69994,22.56283,1.000025
23.64438,21.8733,23.11043,1.000235
22.12899,21.83817,22.18715,1.000415
23.04605,21.76333,22.68594,1.000641
21.75478,21.99363,21.80402,1.000369
21.20837,20.84002,21.14073,1.00053
21.77219,21.21116,21.6503,1.000187
22.70362,20.8956,22.74977,1.00069
25.08252,21.08842,22.24091,1.000265
21.8844,21.22963,21.71938,1.000327
22.57817,21.93224,22.57328,1.000712
23.01689,22.05459,22.58804,1.000077
22.03837,21.37546,21.74564,1.000305
23.46272,22.38788,22.88679,1.000421
22.98806,20.92561,22.17428,1.000202
21.377,20.49669,21.05126,1.000243
23.98071,20.93952,22.17327,1.000731
22.89183,20.5743,21.65491,1.000481
23.5071,21.23285,22.39219,1.00072
24.81052,21.10424,23.49507,1.000602
25.07763,20.27179,22.29885,1.000197
22.19559,21.86427,22.04808,1.000407
22.96422,21.82044,22.90333,1.000304
22.76192,21.916,22.51681,1.000206
22.26609,21.4069,21.85706,1.000038
22.22231,20.99356,21.63743,1.000538
21.19526,20.4343,20.69728,1.000584
22.82188,20.56934,22.05927,1.000135
22.80735,21.53848,21.56165,1.000203
22.00208,21.19199,21.5247,1.000369
21.90576,20.05593,21.09911,1.000257
22.16995,21.62896,21.8941,1.000498
22.65869,21.87081,22.38979,1.000464
22.11428,21.81887,22.10838,1.000296
21.54174,21.25343,21.39746,1.000351
23.20366,21.5672,22.18043,1.000123
22.60183,21.63108,22.28407,1.000569
22.86102,21.85132,22.32163,1.000712
22.49029,21.42431,21.58514,1.000528
24.38429,23.52009,22.07885,1.00031
22.36891,21.12318,21.9131,1.000302
22.49344,21.91856,22.19941,1.000392
22.86149,21.61588,21.89652,1.000411
21.97217,21.48071,21.76006,1.000562
23.24732,21.79766,22.34074,1.000062
22.86234,21.2719,21.88308,1.00067
22.49062,21.2348,21.79149,1.000464
23.68159,21.13703,22.41744,1.000431
24.85405,21.00817,22.18941,1.000384
23.02308,21.70688,22.60264,1.000743
